timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Red,Green,Blue,Clear,Water_Type
2026-06-17T10:30:27.141662,1,Tengra,7.16,32.4,800.0,0.5,0.65,252,252,252,252,Clear
2026-06-17T10:30:28.141791,1,Tengra,7.07,32.3,800.0,0.5,0.58,252,252,252,252,Clear
2026-06-17T10:30:29.141928,1,Tengra,7.16,32.4,800.0,0.5,0.23,252,252,252,252,Clear
2026-06-17T10:30:30.142045,1,Tengra,7.08,32.5,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:30:31.142161,1,Tengra,7.07,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:30:32.142276,1,Tengra,7.19,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:30:33.142364,1,Tengra,7.09,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:30:34.142498,1,Tengra,7.05,32.5,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:30:35.142618,1,Tengra,7.17,32.5,800.0,0.5,0.62,252,252,252,252,Clear
2026-06-17T10:30:36.142705,1,Tengra,7.14,32.3,800.0,0.5,0.72,252,252,252,252,Clear
2026-06-17T10:30:37.142791,1,Tengra,7.09,31.6,800.0,0.5,0.67,252,252,252,252,Clear
2026-06-17T10:30:38.142885,1,Tengra,7.13,31.9,800.0,0.5,0.69,252,252,252,252,Clear
2026-06-17T10:30:39.142974,1,Tengra,7.09,31.9,800.0,0.5,0.7,252,252,252,252,Clear
2026-06-17T10:30:40.143072,1,Tengra,7.07,31.6,800.0,0.5,0.48,252,252,252,252,Clear
2026-06-17T10:30:41.143174,1,Tengra,7.19,30.9,800.0,0.5,0.45,252,252,252,252,Clear
2026-06-17T10:30:42.143267,1,Tengra,7.08,30.7,800.0,0.5,0.3,252,252,252,252,Clear
2026-06-17T10:30:43.143731,1,Tengra,7.26,30.1,800.0,0.5,0.46,252,252,252,252,Clear
2026-06-17T10:30:44.143834,1,Tengra,7.38,29.1,800.0,0.5,0.81,252,252,252,252,Clear
2026-06-17T10:30:45.143934,1,Tengra,7.41,28.7,800.0,0.5,0.82,252,252,252,252,Clear
2026-06-17T10:30:46.144048,1,Tengra,7.42,29.5,800.0,0.5,0.78,252,252,252,252,Clear
2026-06-17T10:30:47.144141,1,Tengra,7.48,29.2,800.0,0.5,0.74,252,252,252,252,Clear
2026-06-17T10:30:48.144226,1,Tengra,7.5,29.0,800.0,0.5,0.89,252,252,252,252,Clear
2026-06-17T10:30:49.144317,1,Tengra,7.3,29.2,800.0,0.5,0.72,252,252,252,252,Clear
2026-06-17T10:30:50.144409,1,Tengra,7.26,29.4,800.0,0.5,0.85,252,252,252,252,Clear
2026-06-17T10:30:51.144499,1,Tengra,7.26,29.7,800.0,0.5,0.77,252,252,252,252,Clear
2026-06-17T10:30:52.144582,1,Tengra,7.27,29.7,800.0,0.5,0.91,252,252,252,252,Clear
2026-06-17T10:30:53.144700,1,Tengra,7.34,29.7,800.0,0.5,0.79,252,252,252,252,Clear
2026-06-17T10:30:54.144810,1,Tengra,7.24,29.4,800.0,0.5,0.75,252,252,252,252,Clear
2026-06-17T10:30:55.144904,1,Tengra,7.27,29.2,800.0,0.5,0.59,252,252,252,252,Clear
2026-06-17T10:30:56.145014,1,Tengra,7.28,29.7,800.0,0.5,0.79,252,252,252,252,Clear
2026-06-17T10:30:57.146391,1,Tengra,7.24,29.8,800.0,0.5,0.8,252,252,252,252,Clear
2026-06-17T10:30:58.146495,1,Tengra,7.36,29.6,800.0,0.5,0.84,252,252,252,252,Clear
2026-06-17T10:30:59.146586,1,Tengra,7.32,29.6,800.0,0.5,0.66,252,252,252,252,Clear
2026-06-17T10:31:00.146680,1,Tengra,7.3,29.6,800.0,0.5,0.59,252,252,252,252,Clear
2026-06-17T10:31:01.146776,1,Tengra,7.37,29.5,800.0,0.5,0.66,252,252,252,252,Clear
2026-06-17T10:31:02.146869,1,Tengra,7.38,29.5,800.0,0.5,0.53,252,252,252,252,Clear
2026-06-17T10:31:03.147015,1,Tengra,7.37,29.6,800.0,0.5,0.52,252,252,252,252,Clear
2026-06-17T10:31:04.147146,1,Tengra,7.42,28.9,800.0,0.5,0.65,252,252,252,252,Clear
2026-06-17T10:31:05.147234,1,Tengra,7.5,28.6,800.0,0.5,0.71,252,252,252,252,Clear
2026-06-17T10:31:06.147319,1,Tengra,7.45,28.9,800.0,0.5,0.25,252,252,252,252,Clear
2026-06-17T10:31:07.147400,1,Tengra,7.44,28.3,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:31:08.147492,1,Tengra,7.34,28.3,800.0,0.5,0.74,252,252,252,252,Clear
2026-06-17T10:31:09.147590,1,Tengra,7.39,28.3,800.0,0.5,0.77,252,252,252,252,Clear
2026-06-17T10:31:10.150422,1,Tengra,7.32,28.5,800.0,0.5,0.77,252,252,252,252,Clear
